FIPS,Area,Total Population,Deaths per Case Rate,Age-Adjusted Death Rate,Age-Adjusted New Case Rate,Uninsured Rate,White,Black or African American,Hispanic or Latino,American Indian or Alaska Native,Asian,Hawaiian and Other Pacific Islander
40069,"Johnston County, Oklahoma",20544,41.09%,178,433.2,,79.53%,3.98%,6.01%,24.10%,1.03%,0.15%
18025,"Crawford County, Indiana",21052,41.09%,175,425.9,,98.24%,1.41%,1.68%,1.19%,0.50%,0.15%
30019,"Daniels County, Montana",3322,41.08%,151.9,369.8,,96.27%,1.02%,3.61%,4.64%,0.60%,0.00%
28151,"Washington County, Mississippi",89844,41.07%,212.6,517.7,,26.16%,73.12%,1.74%,0.48%,0.91%,0.08%
56043,"Washakie County, Wyoming",15370,41.05%,144.1,351,,96.86%,1.25%,14.20%,2.76%,1.12%,0.14%
29103,"Knox County, Missouri",7488,41.05%,172.4,420,,98.24%,1.28%,1.20%,1.50%,0.72%,0.08%
46041,"Dewey County, South Dakota",10478,41.04%,190.1,463.2,,23.34%,1.16%,4.45%,79.69%,0.74%,0.21%
49019,"Grand County, Utah",19338,41.03%,153.9,375.1,,91.42%,1.79%,10.57%,5.97%,2.70%,0.46%
46053,"Gregory County, South Dakota",7988,41.03%,161.9,394.6,,90.44%,1.08%,1.60%,10.74%,0.90%,0.13%
05003,"Ashley County, Arkansas",38124,41.01%,208,507.2,,74.13%,25.19%,6.06%,1.50%,0.55%,0.14%
18177,"Wayne County, Indiana",133106,40.99%,176.6,430.8,13.18%,93.15%,7.24%,3.32%,1.02%,1.59%,0.29%
26151,"Sanilac County, Michigan",81222,40.99%,188.2,459.1,,98.30%,1.08%,4.03%,1.25%,0.60%,0.06%
31125,"Nance County, Nebraska",6760,40.99%,198.8,485,,98.58%,0.92%,3.11%,1.45%,0.38%,0.03%
13061,"Clay County, Georgia",5696,40.98%,167.5,408.7,,38.38%,60.50%,1.86%,0.56%,1.40%,0.07%
16035,"Clearwater County, Idaho",17468,40.95%,183.3,447.6,,95.69%,0.97%,4.09%,4.41%,1.23%,0.45%
26001,"Alcona County, Michigan",20334,40.94%,178,434.8,,98.00%,1.25%,1.87%,1.46%,0.60%,0.13%
12131,"Walton County, Florida",150610,40.93%,157.9,385.8,9.81%,92.27%,6.22%,6.45%,2.04%,2.04%,0.28%
40011,"Blaine County, Oklahoma",17470,40.93%,188.3,460.1,,84.82%,6.14%,13.33%,14.12%,1.05%,0.35%
29121,"Macon County, Missouri",30418,40.92%,191.4,467.7,,96.15%,3.50%,1.60%,1.12%,1.03%,0.14%
45059,"Laurens County, South Carolina",135078,40.91%,195.9,478.9,13.93%,73.42%,26.37%,5.57%,0.93%,0.88%,0.21%
28131,"Stone County, Mississippi",36666,40.90%,194.5,475.5,,79.67%,19.86%,2.23%,1.07%,0.86%,0.15%
05149,"Yell County, Arkansas",40526,40.90%,174.7,427.1,,94.67%,3.02%,21.11%,1.98%,1.68%,0.14%
18119,"Owen County, Indiana",42642,40.89%,187.6,458.8,,98.44%,1.03%,1.30%,1.05%,0.88%,0.05%
48405,"San Augustine County, Texas",15836,40.89%,162.9,398.4,,77.22%,22.16%,7.79%,1.68%,0.69%,0.06%
47123,"Monroe County, Tennessee",92500,40.87%,206.3,504.8,,96.39%,2.97%,4.59%,1.66%,0.73%,0.11%
18167,"Vigo County, Indiana",212306,40.85%,188.5,461.4,6.95%,89.92%,8.99%,2.88%,0.92%,2.62%,0.14%
54057,"Mineral County, West Virginia",53876,40.85%,182.9,447.7,,96.23%,4.08%,1.03%,0.70%,0.75%,0.07%
18129,"Posey County, Indiana",50444,40.85%,167.7,410.5,,97.97%,1.90%,1.24%,0.63%,0.77%,0.05%
21077,"Gallatin County, Kentucky",17380,40.85%,209.6,513.1,,97.36%,2.85%,5.27%,0.94%,0.70%,0.18%
48167,"Galveston County, Texas",701364,40.85%,175.4,429.4,14.98%,82.10%,14.17%,25.78%,1.49%,4.26%,0.21%
48031,"Blanco County, Texas",22748,40.84%,167.8,410.9,,95.69%,2.60%,20.42%,2.27%,1.15%,0.16%
48349,"Navarro County, Texas",105248,40.83%,177.5,434.7,,82.98%,14.33%,29.39%,1.85%,1.16%,1.90%
28027,"Coahoma County, Mississippi",42780,40.82%,211.7,518.6,,21.33%,78.30%,1.80%,0.47%,0.59%,0.07%
08099,"Prowers County, Colorado",23998,40.82%,177.6,435.1,,96.13%,1.74%,39.25%,3.27%,0.91%,0.20%
29221,"Washington County, Missouri",47028,40.80%,187.3,459.1,,96.64%,3.02%,1.54%,1.41%,0.49%,0.09%
55129,"Washburn County, Wisconsin",33246,40.79%,186.8,457.9,,97.24%,0.84%,1.97%,2.63%,0.84%,0.07%
13109,"Evans County, Georgia",21548,40.79%,172.6,423.1,,65.91%,32.37%,11.99%,1.36%,1.51%,0.48%
37065,"Edgecombe County, North Carolina",97800,40.78%,187.2,459,,40.60%,58.73%,5.28%,1.32%,0.60%,0.25%
48463,"Uvalde County, Texas",49128,40.77%,170.7,418.7,,96.01%,1.72%,72.65%,1.75%,1.46%,0.13%
31181,"Webster County, Nebraska",6790,40.76%,203.1,498.3,,97.91%,1.50%,5.24%,1.38%,0.71%,0.50%
45001,"Abbeville County, South Carolina",48590,40.75%,177.5,435.6,,71.93%,28.18%,1.77%,0.82%,0.57%,0.07%
37013,"Beaufort County, North Carolina",89304,40.74%,174.3,427.8,,73.54%,25.59%,8.42%,1.64%,0.80%,0.13%
01005,"Barbour County, Alabama",50446,40.74%,182.2,447.2,,50.12%,49.21%,4.72%,1.21%,0.63%,0.27%
48117,"Deaf Smith County, Texas",37166,40.73%,161.1,395.5,,95.12%,2.71%,75.20%,2.36%,0.87%,0.13%
47053,"Gibson County, Tennessee",100858,40.73%,198.5,487.4,,81.04%,19.48%,2.99%,0.83%,0.57%,0.09%
38093,"Stutsman County, North Dakota",43186,40.72%,154.1,378.4,,94.97%,2.29%,2.79%,2.96%,1.20%,0.18%
48503,"Young County, Texas",35734,40.72%,185.7,456,,96.01%,2.45%,19.44%,1.93%,1.07%,0.15%
01061,"Geneva County, Alabama",53318,40.71%,184.8,453.9,,88.92%,10.45%,4.36%,2.07%,0.62%,0.14%
18087,"LaGrange County, Indiana",80892,40.70%,166.6,409.3,,98.65%,0.82%,4.33%,0.60%,0.70%,0.06%
48189,"Hale County, Texas",65044,40.70%,161.3,396.3,,91.27%,6.64%,61.13%,2.43%,0.96%,0.30%
21107,"Hopkins County, Kentucky",90846,40.69%,202.9,498.6,,92.21%,8.48%,2.20%,0.80%,0.90%,0.12%
48055,"Caldwell County, Texas",91766,40.69%,162.6,399.6,,90.51%,7.37%,54.63%,2.49%,1.30%,0.17%
22115,"Vernon Parish, Louisiana",97500,40.69%,211,518.6,,81.07%,16.37%,9.65%,2.68%,3.27%,0.74%
39115,"Morgan County, Ohio",27604,40.68%,183.1,450.1,,95.99%,5.56%,0.98%,1.91%,0.77%,0.18%
40037,"Creek County, Oklahoma",143508,40.68%,199.4,490.2,9.90%,85.36%,3.63%,4.76%,17.42%,1.09%,0.19%
17125,"Mason County, Illinois",26172,40.67%,207.1,509.2,,98.27%,1.22%,1.27%,0.90%,0.83%,0.03%
21121,"Knox County, Kentucky",60386,40.67%,234,575.4,,97.85%,1.91%,1.48%,1.05%,0.61%,0.07%
48239,"Jackson County, Texas",29976,40.66%,178.6,439.2,,91.07%,7.61%,33.89%,1.71%,1.39%,0.10%
28081,"Lee County, Mississippi",166686,40.66%,201.2,494.8,11.94%,67.62%,31.83%,3.00%,0.71%,1.23%,0.09%
18045,"Fountain County, Indiana",32958,40.66%,216.7,533,,98.39%,1.12%,2.75%,0.89%,0.74%,0.13%
21229,"Washington County, Kentucky",24054,40.65%,203.6,500.9,,93.56%,6.75%,4.10%,0.56%,0.88%,0.12%
37075,"Graham County, North Carolina",16060,40.64%,157.9,388.5,,89.68%,1.34%,3.85%,10.36%,0.78%,0.17%
35037,"Quay County, New Mexico",17492,40.63%,168.3,414.2,,93.64%,3.02%,46.57%,4.17%,1.62%,0.33%
48197,"Hardeman County, Texas",7098,40.62%,170.7,420.2,,91.29%,7.52%,25.25%,2.59%,1.18%,0.14%
45031,"Darlington County, South Carolina",125810,40.61%,180.6,444.7,8.99%,56.96%,42.75%,2.32%,0.89%,0.76%,0.14%
28047,"Harrison County, Mississippi",417242,40.60%,201.3,495.8,12.24%,69.97%,27.77%,5.58%,1.22%,3.83%,0.32%
48293,"Limestone County, Texas",44292,40.59%,175.6,432.6,,79.85%,18.72%,22.90%,1.98%,1.29%,0.15%
29109,"Lawrence County, Missouri",76002,40.59%,175.8,433.1,,97.36%,1.29%,8.08%,2.52%,0.94%,0.18%
17065,"Hamilton County, Illinois",15986,40.59%,185.2,456.3,,97.96%,1.15%,1.88%,1.04%,0.98%,0.01%
01037,"Coosa County, Alabama",20774,40.58%,163.5,402.9,,68.27%,31.19%,2.69%,1.36%,0.40%,0.29%
48411,"San Saba County, Texas",11460,40.57%,134.7,332,,93.82%,4.75%,31.36%,2.51%,1.06%,0.09%
12023,"Columbia County, Florida",139396,40.57%,203.1,500.6,15.76%,79.44%,19.81%,6.77%,1.32%,1.43%,0.20%
29005,"Atchison County, Missouri",10610,40.55%,151.4,373.4,,98.79%,0.94%,1.75%,0.98%,0.45%,0.11%
35019,"Guadalupe County, New Mexico",8904,40.54%,165.9,409.2,,92.45%,3.12%,78.75%,4.85%,1.98%,0.16%
47057,"Grainger County, Tennessee",47054,40.53%,198.9,490.7,,98.08%,1.54%,3.51%,1.13%,0.39%,0.10%
48035,"Bosque County, Texas",36470,40.53%,175.9,434,,95.80%,3.18%,19.45%,1.52%,0.92%,0.15%
28033,"DeSoto County, Mississippi",370628,40.53%,187.6,462.9,8.48%,66.73%,31.99%,5.14%,0.72%,2.07%,0.17%
22009,"Avoyelles Parish, Louisiana",79386,40.52%,192.6,475.3,,67.65%,31.49%,2.10%,2.10%,0.74%,0.17%
28107,"Panola County, Mississippi",66416,40.51%,203.5,502.3,,48.95%,51.03%,1.96%,0.79%,0.48%,0.09%
26027,"Cass County, Michigan",103178,40.51%,173.1,427.3,,92.61%,6.98%,4.14%,2.36%,1.16%,0.15%
29167,"Polk County, Missouri",63038,40.50%,151,372.8,,97.16%,1.61%,2.65%,1.86%,1.22%,0.12%
13005,"Bacon County, Georgia",22280,40.50%,175.7,433.8,,82.24%,17.92%,8.64%,0.75%,0.94%,0.18%
26067,"Ionia County, Michigan",133608,40.50%,171.1,422.5,,94.05%,5.53%,5.09%,1.37%,0.81%,0.09%
45047,"Greenwood County, South Carolina",138702,40.50%,178.1,439.8,9.77%,65.54%,33.31%,6.52%,1.01%,1.59%,0.19%
53077,"Yakima County, Washington",513456,40.49%,160.8,397.1,14.36%,89.41%,2.35%,50.97%,8.54%,2.46%,0.53%
37041,"Chowan County, North Carolina",27416,40.49%,175.9,434.4,,63.83%,35.37%,3.65%,1.03%,1.04%,0.31%
40097,"Mayes County, Oklahoma",78092,40.49%,200,494,,75.08%,1.34%,3.85%,32.43%,0.82%,0.17%
18151,"Steuben County, Indiana",68870,40.48%,165.6,409.1,,97.93%,1.36%,3.92%,0.79%,1.05%,0.10%
28007,"Attala County, Mississippi",35778,40.48%,192.5,475.6,,55.30%,44.26%,2.19%,0.68%,0.68%,0.04%
26075,"Jackson County, Michigan",320732,40.46%,184.6,456.2,5.93%,90.50%,10.17%,3.79%,1.22%,1.27%,0.12%
40021,"Cherokee County, Oklahoma",94156,40.46%,184,454.8,,59.29%,2.54%,7.66%,46.69%,1.41%,0.17%
01067,"Henry County, Alabama",34292,40.45%,186.6,461.3,,73.26%,26.54%,2.71%,1.04%,0.68%,0.07%
21005,"Anderson County, Kentucky",47704,40.45%,204.7,506.1,,96.61%,3.15%,2.17%,0.94%,1.03%,0.10%
53011,"Clark County, Washington",1006622,40.43%,157.2,388.8,5.97%,89.96%,3.95%,10.65%,2.66%,7.02%,1.49%
54019,"Fayette County, West Virginia",80976,40.41%,206,509.8,,95.08%,5.34%,1.28%,0.92%,0.46%,0.05%
29207,"Stoddard County, Missouri",57344,40.40%,204.2,505.5,,97.73%,1.79%,1.81%,1.06%,0.61%,0.07%
13257,"Stephens County, Georgia",53568,40.38%,205.1,507.9,,87.40%,12.81%,4.00%,1.18%,1.27%,0.25%
28079,"Leake County, Mississippi",42550,40.37%,177.8,440.4,,49.75%,43.36%,4.88%,7.29%,0.80%,0.09%
18125,"Pike County, Indiana",24500,40.37%,188.6,467.2,,98.24%,1.11%,1.54%,0.82%,0.75%,0.11%
21045,"Casey County, Kentucky",31882,40.37%,189.4,469.2,,97.92%,1.81%,2.97%,0.88%,0.50%,0.08%
18029,"Dearborn County, Indiana",101358,40.36%,174.7,432.9,,98.45%,1.40%,1.43%,0.64%,0.70%,0.11%
29017,"Bollinger County, Missouri",21134,40.35%,173.6,430.2,,98.02%,1.13%,1.62%,1.78%,0.56%,0.08%
18161,"Union County, Indiana",14174,40.34%,189.4,469.5,,98.11%,1.61%,2.36%,0.89%,0.87%,0.13%
16079,"Shoshone County, Idaho",26338,40.31%,197.7,490.4,,96.86%,1.13%,3.70%,3.33%,0.92%,0.36%
01097,"Mobile County, Alabama",829618,40.31%,177.4,440.1,10.89%,60.29%,37.34%,3.00%,1.58%,2.54%,0.12%
05065,"Izard County, Arkansas",27154,40.30%,163.5,405.7,,96.41%,2.65%,2.59%,1.66%,0.65%,0.04%
22123,"West Carroll Parish, Louisiana",19502,40.30%,196.5,487.6,,82.54%,17.02%,4.26%,1.48%,0.52%,0.07%
06031,"Kings County, California",304972,40.30%,151.6,376.2,8.55%,84.27%,8.76%,55.79%,4.41%,5.98%,0.69%
56041,"Uinta County, Wyoming",40900,40.29%,142.5,353.7,,97.12%,1.10%,9.80%,2.39%,0.92%,0.31%
35035,"Otero County, New Mexico",135678,40.28%,158.1,392.5,7.07%,85.05%,5.41%,39.22%,9.72%,2.65%,0.47%
56013,"Fremont County, Wyoming",78468,40.27%,152.6,378.9,,76.31%,0.98%,7.53%,24.70%,0.97%,0.19%
08027,"Custer County, Colorado",9408,40.27%,112,278.1,,96.19%,2.30%,5.97%,2.95%,0.79%,0.09%
41061,"Union County, Oregon",52392,40.27%,167.2,415.2,,95.01%,1.52%,5.16%,2.53%,2.07%,1.74%
49037,"San Juan County, Utah",29036,40.27%,116.5,289.3,,49.53%,0.83%,6.00%,50.72%,0.97%,0.31%
47099,"Lawrence County, Tennessee",88318,40.27%,192.6,478.3,,97.03%,2.63%,2.52%,1.27%,0.70%,0.16%
54005,"Boone County, West Virginia",43618,40.26%,214.4,532.5,,98.89%,1.24%,0.77%,0.46%,0.22%,0.01%
40109,"Oklahoma County, Oklahoma",1592584,40.26%,176.7,438.9,14.27%,74.99%,18.33%,18.19%,7.93%,4.64%,0.30%
08029,"Delta County, Colorado",62392,40.25%,168,417.4,,96.68%,1.35%,15.53%,2.69%,1.18%,0.19%
26143,"Roscommon County, Michigan",46918,40.24%,210.4,522.8,,97.66%,1.14%,2.10%,1.73%,0.93%,0.06%
48177,"Gonzales County, Texas",39306,40.24%,164.6,409,,89.60%,8.32%,52.03%,2.35%,0.83%,0.21%
55078,"Menominee County, Wisconsin",8510,40.24%,164.5,408.8,,14.97%,1.76%,7.38%,84.07%,2.30%,0.02%
30079,"Prairie County, Montana",2176,40.23%,247.8,616,,97.33%,1.29%,5.15%,3.77%,1.19%,0.09%
47141,"Putnam County, Tennessee",159708,40.19%,179.7,447.1,8.63%,95.02%,3.40%,6.68%,1.44%,1.89%,0.22%
48195,"Hansford County, Texas",10570,40.19%,170.4,424,,96.33%,1.80%,49.06%,2.54%,0.74%,0.06%
41019,"Douglas County, Oregon",222402,40.19%,176.9,440.2,6.66%,95.86%,1.10%,6.20%,4.36%,2.03%,0.50%
28137,"Tate County, Mississippi",56128,40.18%,187.5,466.6,,68.17%,31.90%,2.79%,0.69%,0.63%,0.15%
01047,"Dallas County, Alabama",76924,40.18%,197.5,491.5,,28.25%,71.39%,1.20%,0.59%,0.66%,0.09%
06049,"Modoc County, California",17400,40.18%,136.7,340.2,,91.38%,2.69%,15.25%,7.46%,1.91%,0.56%
26107,"Mecosta County, Michigan",79428,40.18%,179.6,447,,95.33%,3.93%,2.58%,2.05%,1.29%,0.16%
08065,"Lake County, Colorado",14872,40.18%,108.4,269.8,,94.85%,1.51%,36.01%,4.65%,1.34%,0.26%
08075,"Logan County, Colorado",43056,40.18%,141.3,351.7,,92.37%,5.18%,17.31%,2.70%,1.24%,0.19%
12121,"Suwannee County, Florida",86948,40.17%,193.6,481.9,,85.95%,13.27%,10.18%,1.50%,0.95%,0.17%
29225,"Webster County, Missouri",78170,40.17%,177.2,441.1,,97.69%,1.66%,2.25%,1.96%,0.65%,0.10%
26073,"Isabella County, Michigan",128788,40.17%,157.9,393.1,7.95%,91.30%,4.11%,4.30%,5.60%,2.36%,0.17%
12043,"Glades County, Florida",24252,40.16%,133.1,331.4,,80.18%,14.39%,21.94%,6.00%,0.95%,0.24%
01119,"Sumter County, Alabama",24690,40.16%,187.1,465.9,,26.89%,71.71%,1.30%,0.52%,1.77%,0.08%
05089,"Marion County, Arkansas",33652,40.15%,178.6,444.8,,97.53%,1.06%,2.53%,2.56%,0.94%,0.15%
40117,"Pawnee County, Oklahoma",31106,40.15%,190.2,473.7,,84.05%,2.05%,3.40%,19.80%,0.91%,0.17%
26105,"Mason County, Michigan",58104,40.15%,159.4,397,,97.07%,1.80%,4.67%,1.92%,1.14%,0.07%
12075,"Levy County, Florida",85830,40.15%,199.5,496.9,,88.82%,10.27%,9.12%,1.58%,1.20%,0.19%
17051,"Fayette County, Illinois",42976,40.15%,184,458.3,,94.67%,5.08%,1.94%,0.79%,0.61%,0.06%
40147,"Washington County, Oklahoma",104910,40.15%,182.1,453.6,,83.34%,4.12%,6.61%,17.12%,2.76%,0.21%
12107,"Putnam County, Florida",146642,40.14%,196.7,490,16.41%,81.88%,17.43%,10.46%,1.42%,0.96%,0.22%
21161,"Mason County, Kentucky",34240,40.13%,200.5,499.6,,92.48%,8.00%,2.16%,1.01%,1.17%,0.09%
48329,"Midland County, Texas",339966,40.13%,150,373.8,16.34%,89.14%,7.99%,47.02%,1.82%,2.65%,0.20%
47069,"Hardeman County, Tennessee",50924,40.12%,207.3,516.7,,56.54%,43.01%,1.96%,0.89%,1.02%,0.08%
48391,"Refugio County, Texas",13482,40.12%,174.2,434.2,,91.11%,7.52%,51.42%,1.77%,1.19%,0.07%
41037,"Lake County, Oregon",16320,40.12%,171.3,427,,95.10%,1.54%,9.44%,5.29%,1.79%,0.48%
21039,"Carlisle County, Kentucky",9652,40.11%,211,526,,97.39%,3.13%,2.38%,1.31%,0.79%,0.04%
42083,"McKean County, Pennsylvania",80864,40.11%,179.9,448.5,,96.37%,3.05%,2.34%,0.86%,0.92%,0.10%
29087,"Holt County, Missouri",8446,40.11%,190.2,474.2,,97.82%,1.04%,1.49%,1.97%,0.43%,0.09%
29211,"Sullivan County, Missouri",11998,40.09%,144.7,360.9,,94.00%,3.73%,18.75%,2.17%,0.73%,0.43%
29510,"St. Louis city, Missouri",603156,40.09%,179.4,447.5,9.48%,50.85%,46.51%,4.32%,1.13%,4.33%,0.18%
26071,"Iron County, Michigan",23262,40.09%,162.6,405.6,,97.49%,0.99%,2.36%,2.50%,0.72%,0.05%
18163,"Vanderburgh County, Indiana",360272,40.09%,176.5,440.3,8.72%,87.89%,12.10%,2.96%,0.78%,1.97%,0.33%
31161,"Sheridan County, Nebraska",10254,40.08%,160.8,401.2,,87.42%,1.31%,6.07%,13.63%,1.35%,0.31%
47125,"Montgomery County, Tennessee",440138,40.06%,184.4,460.3,7.90%,74.38%,24.65%,10.57%,1.83%,3.89%,0.73%
48135,"Ector County, Texas",330342,40.05%,173.6,433.5,22.38%,91.26%,6.22%,63.39%,2.16%,1.61%,0.34%
48361,"Orange County, Texas",169616,40.04%,188.2,470,13.37%,88.90%,9.58%,8.84%,1.50%,1.59%,0.15%
26129,"Ogemaw County, Michigan",41540,40.04%,194.4,485.5,,97.70%,0.98%,2.26%,1.92%,0.90%,0.09%
48399,"Runnels County, Texas",19800,40.04%,167,417.1,,93.93%,3.63%,35.43%,2.45%,1.39%,0.10%
06035,"Lassen County, California",65460,40.04%,147.1,367.4,,84.67%,9.21%,19.64%,6.37%,2.56%,1.08%
37053,"Currituck County, North Carolina",56200,40.03%,142,354.7,,92.09%,7.05%,4.58%,1.56%,1.49%,0.22%
28103,"Noxubee County, Mississippi",20570,40.03%,189,472.2,,26.86%,72.76%,1.37%,0.68%,0.40%,0.05%
22053,"Jefferson Davis Parish, Louisiana",64500,40.02%,204.6,511.2,,82.04%,18.09%,2.66%,1.35%,0.77%,0.09%
48111,"Dallam County, Texas",14230,40.01%,146.4,365.9,,92.99%,3.42%,47.55%,3.30%,1.76%,0.20%
13043,"Candler County, Georgia",21962,40.00%,163.8,409.5,,72.82%,26.43%,12.02%,0.63%,1.37%,0.19%
16063,"Lincoln County, Idaho",10254,40.00%,165.6,414,,96.49%,1.19%,32.22%,3.32%,1.05%,0.47%
26109,"Menominee County, Michigan",47004,40.00%,162.7,406.8,,95.74%,1.20%,2.07%,3.92%,0.70%,0.08%
13245,"Richmond County, Georgia",413214,39.99%,191,477.6,11.21%,39.02%,59.98%,5.27%,1.09%,2.61%,0.40%
47173,"Union County, Tennessee",39604,39.98%,190.6,476.7,,98.66%,0.93%,1.83%,1.32%,0.33%,0.10%
48185,"Grimes County, Texas",58536,39.98%,171.6,429.2,,83.12%,16.06%,24.64%,1.82%,0.68%,0.19%
12065,"Jefferson County, Florida",29020,39.98%,158,395.2,,65.85%,33.43%,4.36%,1.24%,0.95%,0.13%
47039,"Decatur County, Tennessee",22870,39.97%,185.2,463.3,,95.72%,3.55%,3.52%,1.13%,0.86%,0.13%
06047,"Merced County, California",562404,39.96%,154.9,387.6,11.98%,84.72%,5.08%,61.65%,3.81%,9.20%,0.76%
28157,"Wilkinson County, Mississippi",17174,39.95%,209.6,524.6,,28.71%,71.32%,1.00%,0.52%,0.27%,0.03%
47031,"Coffee County, Tennessee",115778,39.95%,190.3,476.3,,93.99%,5.64%,5.04%,1.20%,1.48%,0.18%
04003,"Cochise County, Arizona",250894,39.95%,153.4,384,7.83%,90.45%,5.87%,35.74%,3.10%,3.62%,0.81%
45033,"Dillon County, South Carolina",56584,39.95%,179.8,450.1,,48.89%,48.58%,2.95%,3.91%,0.87%,0.14%
18077,"Jefferson County, Indiana",66294,39.94%,198.3,496.5,,96.46%,2.93%,3.08%,0.92%,1.04%,0.17%
47177,"Warren County, Tennessee",81906,39.93%,190.4,476.8,,94.53%,4.92%,9.53%,1.18%,1.09%,0.15%
48403,"Sabine County, Texas",19788,39.93%,177.4,444.3,,91.14%,8.08%,4.85%,1.84%,0.85%,0.16%
40013,"Bryan County, Oklahoma",92134,39.91%,167,418.4,,81.42%,3.17%,6.73%,22.35%,0.95%,0.20%
56011,"Crook County, Wyoming",14362,39.91%,148.4,371.8,,97.65%,1.38%,2.58%,1.77%,0.49%,0.06%
13087,"Decatur County, Georgia",58734,39.91%,188.4,472.1,,55.51%,43.88%,6.52%,1.26%,0.82%,0.18%
29179,"Reynolds County, Missouri",12192,39.90%,164.7,412.8,,97.38%,1.76%,1.72%,2.90%,0.61%,0.07%
24510,"Baltimore city, Maryland",1171416,39.90%,194.5,487.5,6.04%,33.65%,64.05%,5.76%,1.21%,3.42%,0.20%
13269,"Taylor County, Georgia",15632,39.89%,168.2,421.7,,61.41%,38.18%,2.78%,0.77%,1.19%,0.10%
01033,"Colbert County, Alabama",114454,39.88%,178.2,446.8,,82.24%,17.40%,3.21%,1.44%,0.87%,0.12%
29055,"Crawford County, Missouri",46112,39.87%,203.2,509.6,,98.24%,1.14%,2.18%,1.61%,0.54%,0.16%
40053,"Grant County, Oklahoma",8338,39.87%,187.6,470.5,,94.56%,2.85%,5.85%,5.52%,0.74%,0.12%
01059,"Franklin County, Alabama",64226,39.87%,173.6,435.4,,93.17%,5.18%,18.48%,2.50%,0.54%,0.31%
41043,"Linn County, Oregon",257220,39.87%,171.9,431.2,6.71%,95.68%,1.53%,9.84%,3.82%,2.28%,0.54%
18065,"Henry County, Indiana",97828,39.86%,193.1,484.5,,96.49%,3.45%,2.11%,0.73%,0.74%,0.11%
37121,"Mitchell County, North Carolina",29806,39.86%,176.4,442.6,,97.24%,1.31%,5.95%,1.74%,0.91%,0.20%
48287,"Lee County, Texas",34956,39.86%,187.2,469.7,,87.21%,11.66%,24.53%,1.74%,0.87%,0.34%
28037,"Franklin County, Mississippi",15350,39.85%,184.6,463.2,,64.47%,35.78%,1.19%,0.70%,0.33%,0.08%
54037,"Jefferson County, West Virginia",115402,39.85%,181.4,455.2,,91.21%,8.24%,6.34%,1.19%,2.29%,0.21%
13065,"Clinch County, Georgia",13498,39.85%,202,506.9,,71.21%,28.60%,5.67%,1.41%,0.52%,0.13%
54043,"Lincoln County, West Virginia",40926,39.82%,211.5,531.2,,99.15%,0.86%,0.76%,0.72%,0.45%,0.02%
29159,"Pettis County, Missouri",85960,39.81%,185,464.7,,94.33%,5.07%,9.14%,1.63%,1.28%,0.47%
05005,"Baxter County, Arkansas",83254,39.80%,187,469.8,,97.90%,0.87%,2.65%,1.99%,0.81%,0.12%
40113,"Osage County, Oklahoma",91636,39.80%,164.3,412.8,,72.14%,12.64%,3.99%,22.16%,0.72%,0.16%
19185,"Wayne County, Iowa",12994,39.80%,195.8,492,,98.55%,1.35%,1.63%,0.60%,0.85%,0.02%
41035,"Klamath County, Oregon",138826,39.77%,182.8,459.6,7.42%,92.45%,1.78%,14.09%,7.88%,1.97%,0.52%
31059,"Fillmore County, Nebraska",11102,39.77%,181.2,455.6,,97.42%,1.21%,4.11%,1.24%,0.97%,0.07%
01093,"Marion County, Alabama",58682,39.77%,181.3,455.9,,95.04%,4.61%,2.58%,1.11%,0.48%,0.10%
26025,"Calhoun County, Michigan",268620,39.77%,179.9,452.4,5.33%,84.94%,13.70%,5.69%,1.87%,3.41%,0.17%
47185,"White County, Tennessee",54702,39.76%,192.3,483.6,,96.99%,2.70%,2.79%,1.17%,0.64%,0.13%
13001,"Appling County, Georgia",36888,39.76%,178.3,448.4,,78.78%,20.73%,10.00%,0.94%,1.04%,0.27%
26005,"Allegan County, Michigan",241004,39.75%,165.4,416.1,6.56%,96.71%,2.46%,7.72%,1.52%,1.22%,0.10%
12067,"Lafayette County, Florida",16452,39.74%,179.9,452.7,,85.59%,13.89%,14.36%,1.41%,0.56%,0.17%
48373,"Polk County, Texas",100246,39.72%,244.7,616,,86.83%,10.57%,15.49%,3.05%,1.11%,0.21%
21055,"Crittenden County, Kentucky",17980,39.72%,194.5,489.7,,98.12%,1.65%,1.36%,1.03%,0.44%,0.10%
28139,"Tippah County, Mississippi",43630,39.72%,199.9,503.3,,82.38%,18.01%,4.78%,0.81%,0.43%,0.05%
18101,"Martin County, Indiana",19624,39.71%,181.8,457.8,,98.83%,0.63%,1.26%,0.75%,0.69%,0.10%
48449,"Titus County, Texas",62494,39.70%,158.2,398.5,,85.98%,10.84%,44.87%,3.11%,1.52%,0.24%
28123,"Scott County, Mississippi",55980,39.70%,192.3,484.4,,59.46%,39.81%,11.78%,1.14%,0.75%,0.45%
01065,"Hale County, Alabama",29570,39.69%,159.6,402.1,,41.23%,58.36%,1.45%,0.64%,0.50%,0.06%
48217,"Hill County, Texas",71748,39.69%,191.7,483,,91.27%,7.76%,21.73%,1.76%,1.04%,0.24%
48485,"Wichita County, Texas",258700,39.68%,187.2,471.8,14.97%,84.83%,12.58%,20.27%,2.29%,3.14%,0.36%
48417,"Shackelford County, Texas",6210,39.67%,125.8,317.1,,95.94%,3.09%,12.01%,1.87%,0.74%,0.13%
